variable,frequency,timestep,br_level,br_size,br_ratio,all_br_levs
CCN3,daily,15,11,,,[11.0]
CCN3,daily,16,12,,,[12.0]
CCN3,daily,17,12,,,[12.0]
CCN3,daily,18,12,,,[12.0]
CCN3,daily,19,12,,,[12.0]
CCN3,daily,20,11,,,[11.0]
CCN3,daily,21,12,,,[12.0]
CCN3,daily,22,12,,,[12.0]
CCN3,daily,23,11,,,[11.0]
CCN3,daily,24,12,,,[12.0]
CCN3,daily,25,11,,,[11.0]
CCN3,daily,26,11,,,[11.0]
CCN3,daily,27,10,,,[10.0]
CCN3,daily,28,10,,,[10.0]
CCN3,daily,29,11,,,[11.0]
CCN3,daily,30,12,,,[12.0]
CCN3,daily,31,12,,,[12.0]
CCN3,daily,32,12,,,[12.0]
CCN3,daily,33,11,,,[11.0]
CCN3,daily,34,12,,,[12.0]
CCN3,daily,35,12,,,[12.0]
CCN3,daily,36,12,,,[12.0]
CCN3,daily,37,12,,,[12.0]
CCN3,daily,38,12,,,[12.0]
CCN3,daily,39,11,,,[11.0]
CCN3,daily,40,10,,,[10.0]
CCN3,daily,41,11,,,[11.0]
CCN3,daily,42,12,,,[12.0]
CCN3,daily,43,12,,,[12.0]
CCN3,daily,44,12,,,[12.0]
CCN3,daily,45,12,,,[12.0]
CCN3,daily,46,12,,,[12.0]
CCN3,daily,47,12,,,[12.0]
CCN3,daily,48,11,,,[11.0]
CCN3,daily,49,12,,,[12.0]
CCN3,daily,50,12,,,[12.0]
CCN3,daily,51,11,,,[11.0]
CCN3,daily,52,11,,,[11.0]
CCN3,daily,53,10,,,[10.0]
CCN3,daily,54,12,,,[12.0]
CCN3,daily,55,12,,,[12.0]
CCN3,daily,56,11,,,[11.0]
CCN3,daily,57,11,,,[11.0]
CCN3,daily,58,11,,,[11.0]
CCN3,daily,59,11,,,[11.0]
FSNS,daily,0,7,,,[7.0]
FSNS,daily,1,7,,,[7.0]
FSNS,daily,2,7,,,[7.0]
FSNS,daily,3,7,,,[7.0]
FSNS,daily,4,7,,,[7.0]
FSNS,daily,5,6,,,[6.0]
FSNS,daily,6,7,,,[7.0]
FSNS,daily,7,7,,,[7.0]
FSNS,daily,8,7,,,[7.0]
FSNS,daily,9,7,,,[7.0]
FSNS,daily,10,7,,,[7.0]
FSNS,daily,11,6,,,[6.0]
FSNS,daily,12,7,,,[7.0]
FSNS,daily,13,6,,,[6.0]
FSNS,daily,14,7,,,[7.0]
FSNS,daily,15,7,,,[7.0]
FSNS,daily,16,7,,,[7.0]
FSNS,daily,17,7,,,[7.0]
FSNS,daily,18,7,,,[7.0]
FSNS,daily,19,7,,,[7.0]
FSNS,daily,20,7,,,[7.0]
FSNS,daily,21,7,,,[7.0]
FSNS,daily,22,7,,,[7.0]
FSNS,daily,23,7,,,[7.0]
FSNS,daily,24,6,,,[6.0]
FSNS,daily,25,6,,,[6.0]
FSNS,daily,26,6,,,[6.0]
FSNS,daily,27,7,,,[7.0]
FSNS,daily,28,7,,,[7.0]
FSNS,daily,29,7,,,[7.0]
FSNS,daily,30,7,,,[7.0]
FSNS,daily,31,7,,,[7.0]
FSNS,daily,32,7,,,[7.0]
FSNS,daily,33,7,,,[7.0]
FSNS,daily,34,7,,,[7.0]
FSNS,daily,35,7,,,[7.0]
FSNS,daily,36,6,,,[6.0]
FSNS,daily,37,6,,,[6.0]
FSNS,daily,38,6,,,[6.0]
FSNS,daily,39,6,,,[6.0]
FSNS,daily,40,7,,,[7.0]
FSNS,daily,41,7,,,[7.0]
FSNS,daily,42,7,,,[7.0]
FSNS,daily,43,7,,,[7.0]
FSNS,daily,44,7,,,[7.0]
FSNS,daily,45,6,,,[6.0]
FSNS,daily,46,7,,,[7.0]
FSNS,daily,47,7,,,[7.0]
FSNS,daily,48,7,,,[7.0]
FSNS,daily,49,6,,,[6.0]
FSNS,daily,50,6,,,[6.0]
FSNS,daily,51,6,,,[6.0]
FSNS,daily,52,6,,,[6.0]
FSNS,daily,53,7,,,[7.0]
FSNS,daily,54,7,,,[7.0]
FSNS,daily,55,7,,,[7.0]
FSNS,daily,56,6,,,[6.0]
FSNS,daily,57,7,,,[7.0]
FSNS,daily,58,6,,,[6.0]
FSNS,daily,59,7,,,[7.0]
CLOUD,daily,0,5,,,[5.0]
CLOUD,daily,1,5,,,[5.0]
CLOUD,daily,2,5,,,[5.0]
CLOUD,daily,3,5,,,[5.0]
CLOUD,daily,4,5,,,[5.0]
CLOUD,daily,5,5,,,[5.0]
CLOUD,daily,6,5,,,[5.0]
CLOUD,daily,7,5,,,[5.0]
CLOUD,daily,8,5,,,[5.0]
CLOUD,daily,9,5,,,[5.0]
CLOUD,daily,10,5,,,[5.0]
CLOUD,daily,11,5,,,[5.0]
CLOUD,daily,12,5,,,[5.0]
CLOUD,daily,13,5,,,[5.0]
CLOUD,daily,14,5,,,[5.0]
CLOUD,daily,15,5,,,[5.0]
CLOUD,daily,16,5,,,[5.0]
CLOUD,daily,17,5,,,[5.0]
CLOUD,daily,18,5,,,[5.0]
CLOUD,daily,19,5,,,[5.0]
