,precision,recall,f1-score,support
20,0.971,0.587,0.731,1360.000
14,0.626,0.975,0.762,964.000
accuracy,0.748,0.748,0.748,0.748
macro avg,0.798,0.781,0.747,2324.000
weighted avg,0.828,0.748,0.744,2324.000
