,precision,recall,f1-score,support
20,0.883,0.725,0.796,1405.000
14,0.681,0.860,0.760,962.000
accuracy,0.779,0.779,0.779,0.779
macro avg,0.782,0.792,0.778,2367.000
weighted avg,0.801,0.779,0.781,2367.000
