,precision,recall,f1-score,support
20,0.737,0.975,0.840,1306.000
14,0.968,0.683,0.801,1433.000
accuracy,0.823,0.823,0.823,0.823
macro avg,0.853,0.829,0.820,2739.000
weighted avg,0.858,0.823,0.820,2739.000
