,precision,recall,f1-score,support
20,0.470,0.865,0.609,1170.000
14,0.657,0.210,0.318,1446.000
accuracy,0.503,0.503,0.503,0.503
macro avg,0.563,0.537,0.463,2616.000
weighted avg,0.573,0.503,0.448,2616.000
