,precision,recall,f1-score,support
20,0.880,0.561,0.685,1252.000
14,0.669,0.920,0.775,1207.000
accuracy,0.737,0.737,0.737,0.737
macro avg,0.774,0.741,0.730,2459.000
weighted avg,0.776,0.737,0.729,2459.000
