,precision,recall,f1-score,support
20,0.917,0.661,0.768,1232.000
14,0.707,0.932,0.804,1082.000
accuracy,0.787,0.787,0.787,0.787
macro avg,0.812,0.796,0.786,2314.000
weighted avg,0.819,0.787,0.785,2314.000
