,precision,recall,f1-score,support
20,0.898,0.835,0.865,1105.000
14,0.863,0.916,0.889,1250.000
accuracy,0.878,0.878,0.878,0.878
macro avg,0.880,0.876,0.877,2355.000
weighted avg,0.879,0.878,0.878,2355.000
