,precision,recall,f1-score,support
20,0.719,0.705,0.712,1255.000
14,0.749,0.761,0.755,1448.000
accuracy,0.735,0.735,0.735,0.735
macro avg,0.734,0.733,0.733,2703.000
weighted avg,0.735,0.735,0.735,2703.000
