,precision,recall,f1-score,support
20,0.591,0.850,0.697,1300.000
14,0.781,0.476,0.591,1459.000
accuracy,0.652,0.652,0.652,0.652
macro avg,0.686,0.663,0.644,2759.000
weighted avg,0.691,0.652,0.641,2759.000
