,precision,recall,f1-score,support
20,0.914,0.790,0.847,1183.000
14,0.826,0.931,0.875,1270.000
accuracy,0.863,0.863,0.863,0.863
macro avg,0.870,0.860,0.861,2453.000
weighted avg,0.868,0.863,0.862,2453.000
