,precision,recall,f1-score,support
20,0.708,0.808,0.754,1299.000
14,0.798,0.695,0.743,1418.000
accuracy,0.749,0.749,0.749,0.749
macro avg,0.753,0.751,0.748,2717.000
weighted avg,0.755,0.749,0.748,2717.000
