,precision,recall,f1-score,support
20,0.490,0.765,0.597,1046.000
14,0.725,0.438,0.546,1483.000
accuracy,0.573,0.573,0.573,0.573
macro avg,0.607,0.601,0.571,2529.000
weighted avg,0.628,0.573,0.567,2529.000
