,precision,recall,f1-score,support
20,0.700,0.974,0.815,1031.000
14,0.954,0.564,0.709,987.000
accuracy,0.774,0.774,0.774,0.774
macro avg,0.827,0.769,0.762,2018.000
weighted avg,0.824,0.774,0.763,2018.000
