,precision,recall,f1-score,support
20,0.680,0.815,0.741,1330.000
14,0.793,0.649,0.714,1454.000
accuracy,0.728,0.728,0.728,0.728
macro avg,0.737,0.732,0.728,2784.000
weighted avg,0.739,0.728,0.727,2784.000
