,precision,recall,f1-score,support
20,0.643,0.754,0.694,1002.000
14,0.762,0.652,0.703,1208.000
accuracy,0.699,0.699,0.699,0.699
macro avg,0.702,0.703,0.699,2210.000
weighted avg,0.708,0.699,0.699,2210.000
