,precision,recall,f1-score,support
20,0.716,0.838,0.772,1188.000
14,0.814,0.680,0.741,1238.000
accuracy,0.758,0.758,0.758,0.758
macro avg,0.765,0.759,0.757,2426.000
weighted avg,0.766,0.758,0.756,2426.000
