,precision,recall,f1-score,support
20,0.880,1.000,0.936,3296.000
14,0.000,0.000,0.000,448.000
accuracy,0.880,0.880,0.880,0.880
macro avg,0.440,0.500,0.468,3744.000
weighted avg,0.775,0.880,0.824,3744.000
