,precision,recall,f1-score,support
20,0.665,0.849,0.746,1097.000
14,0.830,0.633,0.718,1276.000
accuracy,0.733,0.733,0.733,0.733
macro avg,0.748,0.741,0.732,2373.000
weighted avg,0.754,0.733,0.731,2373.000
