,precision,recall,f1-score,support
20,0.711,0.587,0.643,1263.000
14,0.626,0.744,0.680,1175.000
accuracy,0.662,0.662,0.662,0.662
macro avg,0.669,0.665,0.661,2438.000
weighted avg,0.670,0.662,0.661,2438.000
