,precision,recall,f1-score,support
20,0.722,0.966,0.826,1006.000
14,0.962,0.698,0.809,1243.000
accuracy,0.818,0.818,0.818,0.818
macro avg,0.842,0.832,0.818,2249.000
weighted avg,0.855,0.818,0.817,2249.000
