,precision,recall,f1-score,support
20,0.975,0.585,0.731,1288.000
14,0.703,0.985,0.821,1288.000
accuracy,0.785,0.785,0.785,0.785
macro avg,0.839,0.785,0.776,2576.000
weighted avg,0.839,0.785,0.776,2576.000
