,precision,recall,f1-score,support
20,0.779,0.801,0.789,1143.000
14,0.810,0.789,0.800,1234.000
accuracy,0.795,0.795,0.795,0.795
macro avg,0.795,0.795,0.795,2377.000
weighted avg,0.795,0.795,0.795,2377.000
