,precision,recall,f1-score,support
20,0.507,0.923,0.655,1208.000
14,0.812,0.271,0.406,1487.000
accuracy,0.563,0.563,0.563,0.563
macro avg,0.660,0.597,0.530,2695.000
weighted avg,0.676,0.563,0.518,2695.000
