,precision,recall,f1-score,support
20,0.695,0.992,0.818,1300.000
14,0.987,0.564,0.718,1296.000
accuracy,0.779,0.779,0.779,0.779
macro avg,0.841,0.778,0.768,2596.000
weighted avg,0.841,0.779,0.768,2596.000
