,precision,recall,f1-score,support
20,0.741,0.891,0.809,1302.000
14,0.856,0.675,0.754,1248.000
accuracy,0.785,0.785,0.785,0.785
macro avg,0.798,0.783,0.782,2550.000
weighted avg,0.797,0.785,0.782,2550.000
