,precision,recall,f1-score,support
20,0.713,0.749,0.731,1217.000
14,0.743,0.706,0.724,1249.000
accuracy,0.727,0.727,0.727,0.727
macro avg,0.728,0.728,0.727,2466.000
weighted avg,0.728,0.727,0.727,2466.000
