,precision,recall,f1-score,support
20,0.765,0.758,0.761,1419.000
14,0.771,0.779,0.775,1490.000
accuracy,0.768,0.768,0.768,0.768
macro avg,0.768,0.768,0.768,2909.000
weighted avg,0.768,0.768,0.768,2909.000
