,precision,recall,f1-score,support
20,0.625,0.716,0.667,1174.000
14,0.697,0.603,0.647,1271.000
accuracy,0.657,0.657,0.657,0.657
macro avg,0.661,0.659,0.657,2445.000
weighted avg,0.662,0.657,0.657,2445.000
