,precision,recall,f1-score,support
20,0.622,0.646,0.634,1312.000
14,0.668,0.644,0.656,1448.000
accuracy,0.645,0.645,0.645,0.645
macro avg,0.645,0.645,0.645,2760.000
weighted avg,0.646,0.645,0.645,2760.000
