,precision,recall,f1-score,support
20,0.877,0.864,0.871,1242.000
14,0.796,0.815,0.806,811.000
accuracy,0.845,0.845,0.845,0.845
macro avg,0.837,0.839,0.838,2053.000
weighted avg,0.845,0.845,0.845,2053.000
