,precision,recall,f1-score,support
20,0.772,0.983,0.865,1009.000
14,0.981,0.754,0.853,1191.000
accuracy,0.859,0.859,0.859,0.859
macro avg,0.877,0.869,0.859,2200.000
weighted avg,0.885,0.859,0.858,2200.000
