,precision,recall,f1-score,support
20,0.788,0.522,0.628,1257.000
14,0.676,0.877,0.764,1431.000
accuracy,0.711,0.711,0.711,0.711
macro avg,0.732,0.699,0.696,2688.000
weighted avg,0.729,0.711,0.700,2688.000
