,precision,recall,f1-score,support
20,0.851,0.758,0.802,1282.000
14,0.708,0.816,0.758,923.000
accuracy,0.782,0.782,0.782,0.782
macro avg,0.780,0.787,0.780,2205.000
weighted avg,0.791,0.782,0.784,2205.000
