,precision,recall,f1-score,support
20,0.475,1.000,0.644,1291.000
14,1.000,0.057,0.108,1513.000
accuracy,0.491,0.491,0.491,0.491
macro avg,0.737,0.528,0.376,2804.000
weighted avg,0.758,0.491,0.355,2804.000
