,precision,recall,f1-score,support
20,0.697,0.604,0.647,906.000
14,0.702,0.781,0.739,1085.000
accuracy,0.700,0.700,0.700,0.700
macro avg,0.700,0.692,0.693,1991.000
weighted avg,0.700,0.700,0.697,1991.000
