,precision,recall,f1-score,support
20,0.763,0.840,0.800,1232.000
14,0.737,0.633,0.681,874.000
accuracy,0.754,0.754,0.754,0.754
macro avg,0.750,0.736,0.740,2106.000
weighted avg,0.753,0.754,0.751,2106.000
