,precision,recall,f1-score,support
20,0.743,0.987,0.848,1062.000
14,0.974,0.588,0.733,880.000
accuracy,0.806,0.806,0.806,0.806
macro avg,0.858,0.787,0.790,1942.000
weighted avg,0.847,0.806,0.796,1942.000
