,precision,recall,f1-score,support
20,0.482,0.747,0.586,1354.000
14,0.511,0.248,0.333,1446.000
accuracy,0.489,0.489,0.489,0.489
macro avg,0.496,0.497,0.460,2800.000
weighted avg,0.497,0.489,0.455,2800.000
