,precision,recall,f1-score,support
20,0.911,0.460,0.611,1442.000
14,0.614,0.950,0.746,1305.000
accuracy,0.693,0.693,0.693,0.693
macro avg,0.762,0.705,0.679,2747.000
weighted avg,0.770,0.693,0.675,2747.000
