,precision,recall,f1-score,support
20,0.531,0.725,0.613,1148.000
14,0.704,0.505,0.588,1485.000
accuracy,0.601,0.601,0.601,0.601
macro avg,0.617,0.615,0.600,2633.000
weighted avg,0.628,0.601,0.599,2633.000
