set,time,mean,variance,ns_con_var
orig_bc_a1_SRF,0,9.549638676772393e-11,1.576323017777256e-19,2.2523874248347417e-20
orig_bc_a1_SRF,1,1.3332704345730908e-10,2.895909110085382e-19,3.01425644430442e-20
orig_bc_a1_SRF,2,1.3987013222920829e-10,3.438418079488346e-19,3.9564462316074805e-20
orig_bc_a1_SRF,3,1.3535809231317758e-10,3.2058624960825538e-19,4.328181758141212e-20
orig_bc_a1_SRF,4,1.2207889719486936e-10,2.4932519985795928e-19,4.3191894627284437e-20
orig_bc_a1_SRF,5,1.1063750974292926e-10,1.8085985401828505e-19,3.284320164583157e-20
orig_bc_a1_SRF,6,1.191819599782518e-10,2.1394550758288807e-19,2.895118510563119e-20
orig_bc_a1_SRF,7,1.274638370364229e-10,2.654682029954779e-19,2.954207915937248e-20
orig_bc_a1_SRF,8,1.3020657187534152e-10,2.7339599954764697e-19,3.421437605453708e-20
orig_bc_a1_SRF,9,1.2856894395429846e-10,2.752969731113151e-19,3.4499319547290444e-20
orig_bc_a1_SRF,10,1.2885189564088852e-10,2.8343502175433358e-19,3.4959060515253604e-20
orig_bc_a1_SRF,11,1.358268396811325e-10,3.1543738133871657e-19,2.988499766515986e-20
orig_dst_a1_SRF,0,1.1292447069597374e-09,3.0088776725970164e-17,4.505553132732624e-18
orig_dst_a1_SRF,1,1.72938265960051e-09,1.435319382818789e-16,1.379547661583168e-16
orig_dst_a1_SRF,2,1.5722077491899972e-09,9.562663477873396e-17,5.374448893231987e-17
orig_dst_a1_SRF,3,1.4559859897308726e-09,5.679237735480491e-17,1.8853203503928356e-17
orig_dst_a1_SRF,4,1.456761905394754e-09,8.619714820249512e-17,7.320816444868843e-17
orig_dst_a1_SRF,5,1.305994467543126e-09,6.044527668068551e-17,3.73701772568444e-17
orig_dst_a1_SRF,6,1.1895161017825701e-09,4.5046164865867903e-17,2.450072408693029e-17
orig_dst_a1_SRF,7,1.2351431679830493e-09,1.1140903122670723e-16,1.0754718758435379e-16
orig_dst_a1_SRF,8,1.5271397216760482e-09,4.496841521019492e-16,6.449553374142113e-16
orig_dst_a1_SRF,9,1.2675864457716414e-09,4.7986468956013496e-17,2.2793220648425822e-17
orig_dst_a1_SRF,10,1.2005446615316748e-09,3.9793210572076564e-17,1.3854094160091357e-17
