,precision,recall,f1-score,support
10,0.000,0.000,0.000,34.000
6,0.000,0.000,0.000,0.000
accuracy,0.000,0.000,0.000,0.000
macro avg,0.000,0.000,0.000,34.000
weighted avg,0.000,0.000,0.000,34.000
