,precision,recall,f1-score,support
10,0.989,1.000,0.994,520.000
6,1.000,0.333,0.500,9.000
accuracy,0.989,0.989,0.989,0.989
macro avg,0.994,0.667,0.747,529.000
weighted avg,0.989,0.989,0.986,529.000
