,precision,recall,f1-score,support
10,0.588,0.333,0.426,30.000
6,0.810,0.924,0.863,92.000
accuracy,0.779,0.779,0.779,0.779
macro avg,0.699,0.629,0.644,122.000
weighted avg,0.755,0.779,0.755,122.000
