,precision,recall,f1-score,support
10,1.000,1.000,1.000,28.000
6,1.000,1.000,1.000,95.000
accuracy,1.000,1.000,1.000,1.000
macro avg,1.000,1.000,1.000,123.000
weighted avg,1.000,1.000,1.000,123.000
