,precision,recall,f1-score,support
10,0.000,0.000,0.000,0.000
6,1.000,0.977,0.988,261.000
accuracy,0.977,0.977,0.977,0.977
macro avg,0.500,0.489,0.494,261.000
weighted avg,1.000,0.977,0.988,261.000
