,precision,recall,f1-score,support
10,0.030,1.000,0.058,4.000
6,1.000,0.134,0.237,149.000
accuracy,0.157,0.157,0.157,0.157
macro avg,0.515,0.567,0.148,153.000
weighted avg,0.975,0.157,0.232,153.000
