class,precision,recall,f1-score,support
zfp_p_18,0.948,0.391,0.554,3459.000
zfp_p_20,0.000,0.000,0.000,651.000
zfp_p_22,0.256,0.988,0.407,1199.000
zfp_p_24,0.000,0.000,0.000,59.000
lossless,0.000,0.000,0.000,703.000
accuracy,0.418,0.418,0.418,0.418
macro avg,0.241,0.276,0.192,6071.000
weighted avg,0.590,0.418,0.396,6071.000
