variable,level,size
AWNI,zfp_p_20,588787
AWNI,zfp_p_22,588787
AWNI,zfp_p_24,588787
AWNI,zfp_p_26,588787
bc_a1_SRF,orig,63016675
bc_a1_SRF,zfp_p_6,4840797
bc_a1_SRF,zfp_p_8,8111710
bc_a1_SRF,zfp_p_10,12735645
bc_a1_SRF,zfp_p_12,17678394
bc_a1_SRF,zfp_p_14,22650148
bc_a1_SRF,zfp_p_16,27626765
bc_a1_SRF,zfp_p_18,32603358
bc_a1_SRF,zfp_p_20,37579970
bc_a1_SRF,zfp_p_22,42556581
bc_a1_SRF,zfp_p_24,47533222
bc_a1_SRF,zfp_p_26,52509855
BURDENBC,orig,57431678
BURDENBC,zfp_p_6,4108160
BURDENBC,zfp_p_8,5848258
BURDENBC,zfp_p_10,8796208
BURDENBC,zfp_p_12,12919409
BURDENBC,zfp_p_14,17611820
BURDENBC,zfp_p_16,22513355
BURDENBC,zfp_p_18,27471336
BURDENBC,zfp_p_20,32446743
BURDENBC,zfp_p_22,37423553
BURDENBC,zfp_p_24,42400218
BURDENBC,zfp_p_26,47376858
BURDENDUST,orig,58800523
BURDENDUST,zfp_p_6,4298448
BURDENDUST,zfp_p_8,6342521
BURDENDUST,zfp_p_10,9687765
BURDENDUST,zfp_p_12,14093111
BURDENDUST,zfp_p_14,18908452
BURDENDUST,zfp_p_16,23839987
BURDENDUST,zfp_p_18,28807599
BURDENDUST,zfp_p_20,33784237
BURDENDUST,zfp_p_22,38760907
BURDENDUST,zfp_p_24,43737552
BURDENDUST,zfp_p_26,48714180
BURDENPOM,orig,57567828
BURDENPOM,zfp_p_6,4129874
BURDENPOM,zfp_p_8,5908685
BURDENPOM,zfp_p_10,8900411
BURDENPOM,zfp_p_12,13047067
BURDENPOM,zfp_p_14,17749717
BURDENPOM,zfp_p_16,22654986
BURDENPOM,zfp_p_18,27614456
BURDENPOM,zfp_p_20,32590005
BURDENPOM,zfp_p_22,37566700
BURDENPOM,zfp_p_24,42543341
BURDENPOM,zfp_p_26,47519976
BURDENSEASALT,orig,59628380
BURDENSEASALT,zfp_p_6,4282174
BURDENSEASALT,zfp_p_8,6419818
BURDENSEASALT,zfp_p_10,9987906
BURDENSEASALT,zfp_p_12,14664447
BURDENSEASALT,zfp_p_14,19584570
BURDENSEASALT,zfp_p_16,24545187
BURDENSEASALT,zfp_p_18,29520810
BURDENSEASALT,zfp_p_20,34497546
BURDENSEASALT,zfp_p_22,39474160
BURDENSEASALT,zfp_p_24,44450799
BURDENSEASALT,zfp_p_26,49427427
BURDENSO4,orig,56839489
BURDENSO4,zfp_p_6,3978601
BURDENSO4,zfp_p_8,5578036
BURDENSO4,zfp_p_10,8514310
BURDENSO4,zfp_p_12,12846551
BURDENSO4,zfp_p_14,17683911
BURDENSO4,zfp_p_16,22627104
BURDENSO4,zfp_p_18,27601690
BURDENSO4,zfp_p_20,32578615
BURDENSO4,zfp_p_22,37555294
BURDENSO4,zfp_p_24,42531955
BURDENSO4,zfp_p_26,47508597
BURDENSOA,orig,56695947
BURDENSOA,zfp_p_6,4039095
BURDENSOA,zfp_p_8,5640422
BURDENSOA,zfp_p_10,8404990
BURDENSOA,zfp_p_12,12408145
BURDENSOA,zfp_p_14,17055526
BURDENSOA,zfp_p_16,21946988
BURDENSOA,zfp_p_18,26901795
BURDENSOA,zfp_p_20,31876368
BURDENSOA,zfp_p_22,36853262
BURDENSOA,zfp_p_24,41829886
BURDENSOA,zfp_p_26,46806522
CCN3,orig,50972264
CCN3,zfp_p_6,3921287
CCN3,zfp_p_8,5142731
CCN3,zfp_p_10,7045553
CCN3,zfp_p_12,9928579
CCN3,zfp_p_14,13708342
CCN3,zfp_p_16,18128314
CCN3,zfp_p_18,22937278
CCN3,zfp_p_20,27886917
CCN3,zfp_p_22,32860691
CCN3,zfp_p_24,37837489
CCN3,zfp_p_26,42814186
CDNUMC,orig,63949912
CDNUMC,zfp_p_6,5542533
CDNUMC,zfp_p_8,10006792
CDNUMC,zfp_p_10,14967067
CDNUMC,zfp_p_12,19939438
CDNUMC,zfp_p_14,24914752
CDNUMC,zfp_p_16,29890893
CDNUMC,zfp_p_18,34867432
CDNUMC,zfp_p_20,39843962
CDNUMC,zfp_p_22,44820584
CDNUMC,zfp_p_24,49797213
CDNUMC,zfp_p_26,54773846
CLDHGH,orig,60129196
CLDHGH,zfp_p_6,4234628
CLDHGH,zfp_p_8,6954140
