variable,level,size
bc_a1_SRF,orig,130195620
bc_a1_SRF,zfp_p_6,11811123
bc_a1_SRF,zfp_p_8,21238803
bc_a1_SRF,zfp_p_10,31232218
bc_a1_SRF,zfp_p_12,41293028
bc_a1_SRF,zfp_p_14,51376574
bc_a1_SRF,zfp_p_16,61466583
bc_a1_SRF,zfp_p_18,71558110
bc_a1_SRF,zfp_p_20,81649649
bc_a1_SRF,zfp_p_22,91741140
bc_a1_SRF,zfp_p_24,101832665
bc_a1_SRF,zfp_p_26,111924191
dst_a1_SRF,orig,130490360
dst_a1_SRF,zfp_p_6,11936458
dst_a1_SRF,zfp_p_8,21398927
dst_a1_SRF,zfp_p_10,31397061
dst_a1_SRF,zfp_p_12,41459412
dst_a1_SRF,zfp_p_14,51543136
dst_a1_SRF,zfp_p_16,61633580
dst_a1_SRF,zfp_p_18,71725035
dst_a1_SRF,zfp_p_20,81816552
dst_a1_SRF,zfp_p_22,91908073
dst_a1_SRF,zfp_p_24,101999584
dst_a1_SRF,zfp_p_26,112091104
dst_a3_SRF,orig,130585375
dst_a3_SRF,zfp_p_6,11915088
dst_a3_SRF,zfp_p_8,21324379
dst_a3_SRF,zfp_p_10,31315090
dst_a3_SRF,zfp_p_12,41376844
dst_a3_SRF,zfp_p_14,51461219
dst_a3_SRF,zfp_p_16,61551767
dst_a3_SRF,zfp_p_18,71643287
dst_a3_SRF,zfp_p_20,81734827
dst_a3_SRF,zfp_p_22,91826367
dst_a3_SRF,zfp_p_24,101917867
dst_a3_SRF,zfp_p_26,112009386
FLNS,orig,126786118
FLNS,zfp_p_6,10097182
FLNS,zfp_p_8,18701759
FLNS,zfp_p_10,28593813
FLNS,zfp_p_12,38657595
FLNS,zfp_p_14,48748067
FLNS,zfp_p_16,58839673
FLNS,zfp_p_18,68931294
FLNS,zfp_p_20,79022814
FLNS,zfp_p_22,89114305
FLNS,zfp_p_24,99205805
FLNS,zfp_p_26,109297332
FLNSC,orig,115992914
FLNSC,zfp_p_6,7956720
FLNSC,zfp_p_8,12530048
FLNSC,zfp_p_10,19985204
FLNSC,zfp_p_12,29361976
FLNSC,zfp_p_14,39436025
FLNSC,zfp_p_16,49526890
FLNSC,zfp_p_18,59618671
FLNSC,zfp_p_20,69710356
FLNSC,zfp_p_22,79801991
FLNSC,zfp_p_24,89893496
FLNSC,zfp_p_26,99985007
FLUT,orig,110063996
FLUT,zfp_p_6,7617691
FLUT,zfp_p_8,10668771
FLUT,zfp_p_10,17217050
FLUT,zfp_p_12,26650565
FLUT,zfp_p_14,36661637
FLUT,zfp_p_16,46744830
FLUT,zfp_p_18,56836181
FLUT,zfp_p_20,66927847
FLUT,zfp_p_22,77019442
FLUT,zfp_p_24,87110941
FLUT,zfp_p_26,97202456
FSNS,orig,115138403
FSNS,zfp_p_6,9201875
FSNS,zfp_p_8,17001578
FSNS,zfp_p_10,26197486
FSNS,zfp_p_12,35480208
FSNS,zfp_p_14,44787174
FSNS,zfp_p_16,54096375
FSNS,zfp_p_18,63405554
FSNS,zfp_p_20,72714731
FSNS,zfp_p_22,82023944
FSNS,zfp_p_24,91333160
FSNS,zfp_p_26,100642369
FSNSC,orig,101551560
FSNSC,zfp_p_6,7686055
FSNSC,zfp_p_8,11133259
FSNSC,zfp_p_10,16635883
FSNSC,zfp_p_12,23792111
FSNSC,zfp_p_14,32632837
FSNSC,zfp_p_16,41946195
FSNSC,zfp_p_18,51255591
FSNSC,zfp_p_20,60564966
FSNSC,zfp_p_22,69874296
FSNSC,zfp_p_24,79183493
FSNSC,zfp_p_26,88492710
FSNTOA,orig,109931242
FSNTOA,zfp_p_6,7975181
FSNTOA,zfp_p_8,14371572
FSNTOA,zfp_p_10,23313661
FSNTOA,zfp_p_12,32543720
FSNTOA,zfp_p_14,41841519
FSNTOA,zfp_p_16,51149850
FSNTOA,zfp_p_18,60458824
FSNTOA,zfp_p_20,69768060
FSNTOA,zfp_p_22,79077327
FSNTOA,zfp_p_24,88386570
FSNTOA,zfp_p_26,97695825
ICEFRAC,orig,24115425
ICEFRAC,zfp_p_6,3403786
ICEFRAC,zfp_p_8,4817420
ICEFRAC,zfp_p_10,6455964
ICEFRAC,zfp_p_12,8316295
ICEFRAC,zfp_p_14,10328195
ICEFRAC,zfp_p_16,12424977
ICEFRAC,zfp_p_18,14564350
ICEFRAC,zfp_p_20,16723669
ICEFRAC,zfp_p_22,18892042
ICEFRAC,zfp_p_24,21064984
ICEFRAC,zfp_p_26,23239628
LHFLX,orig,130490587
LHFLX,zfp_p_6,11393577
LHFLX,zfp_p_8,18970847
LHFLX,zfp_p_10,28156855
LHFLX,zfp_p_12,38149405
LHFLX,zfp_p_14,48247624
LHFLX,zfp_p_16,58339786
LHFLX,zfp_p_18,68431343
LHFLX,zfp_p_20,78522886
LHFLX,zfp_p_22,88614403
LHFLX,zfp_p_24,98705892
LHFLX,zfp_p_26,108797410
pom_a1_SRF,orig,130248448
pom_a1_SRF,zfp_p_6,11820990
pom_a1_SRF,zfp_p_8,21247728
pom_a1_SRF,zfp_p_10,31243352
pom_a1_SRF,zfp_p_12,41305116
pom_a1_SRF,zfp_p_14,51388982
pom_a1_SRF,zfp_p_16,61479403
pom_a1_SRF,zfp_p_18,71570924
pom_a1_SRF,zfp_p_20,81662441
pom_a1_SRF,zfp_p_22,91753992
pom_a1_SRF,zfp_p_24,101845506
pom_a1_SRF,zfp_p_26,111937027
PRECL,orig,135276455
PRECL,zfp_p_6,14171200
PRECL,zfp_p_8,23786220
PRECL,zfp_p_10,33792556
PRECL,zfp_p_12,43846596
PRECL,zfp_p_14,53906152
PRECL,zfp_p_16,63966482
PRECL,zfp_p_18,74027022
PRECL,zfp_p_20,84087663
PRECL,zfp_p_22,94148362
PRECL,zfp_p_24,104209098
PRECL,zfp_p_26,114269843
PRECSC,orig,8239280
PRECSC,zfp_p_6,2028421
PRECSC,zfp_p_8,2729847
PRECSC,zfp_p_10,3426785
PRECSC,zfp_p_12,4124030
PRECSC,zfp_p_14,4819359
PRECSC,zfp_p_16,5514679
PRECSC,zfp_p_18,6209967
PRECSC,zfp_p_20,6905257
PRECSC,zfp_p_22,7600528
PRECSC,zfp_p_24,8295824
PRECSC,zfp_p_26,8991102
PRECSL,orig,102234476
PRECSL,zfp_p_6,12731851
PRECSL,zfp_p_8,21099245
PRECSL,zfp_p_10,29677040
PRECSL,zfp_p_12,38287829
PRECSL,zfp_p_14,46900810
PRECSL,zfp_p_16,55513464
PRECSL,zfp_p_18,64126015
PRECSL,zfp_p_20,72738672
PRECSL,zfp_p_22,81351410
PRECSL,zfp_p_24,89964160
PRECSL,zfp_p_26,98576944
PRECT,orig,133454667
PRECT,zfp_p_6,12773936
PRECT,zfp_p_8,22207054
PRECT,zfp_p_10,32215727
PRECT,zfp_p_12,42268249
PRECT,zfp_p_14,52327837
PRECT,zfp_p_16,62388300
PRECT,zfp_p_18,72448911
PRECT,zfp_p_20,82509730
PRECT,zfp_p_22,92570592
