variable,level,size
CCN3,orig,272506698
CCN3,bg_1,17313715
CCN3,bg_2,22951445
CCN3,bg_3,29627286
CCN3,bg_4,38189813
CCN3,bg_5,48469915
CCN3,bg_6,60888927
CCN3,bg_7,76007486
CCN3,bg_8,97946353
CCN3,bg_9,108334336
CCN3,bg_10,118973123
CCN3,bg_11,130564502
CCN3,bg_12,142323769
CCN3,bg_13,151768177
CCN3,bg_14,162544814
CCN3,bg_15,174382455
CCN3,bg_16,196524715
CCN3,bg_17,207252343
CCN3,bg_18,218368213
CCN3,bg_19,230191548
CCN3,bg_20,241621018
CLOUD,orig,219526652
CLOUD,bg_1,31708560
CLOUD,bg_2,38112491
CLOUD,bg_3,45675352
CLOUD,bg_4,53870722
CLOUD,bg_5,61990095
CLOUD,bg_6,70978017
CLOUD,bg_7,81045478
CLOUD,bg_8,97554514
CLOUD,bg_9,105010136
CLOUD,bg_10,112746917
CLOUD,bg_11,121193183
CLOUD,bg_12,128995782
CLOUD,bg_13,135092208
CLOUD,bg_14,142204135
CLOUD,bg_15,150254313
CLOUD,bg_16,166599608
CLOUD,bg_17,174105024
CLOUD,bg_18,182015609
CLOUD,bg_19,190403346
CLOUD,bg_20,198103703
FLNS,orig,9935522
FLNS,bg_1,876316
FLNS,bg_2,1166269
FLNS,bg_3,1482596
FLNS,bg_4,1842156
FLNS,bg_5,2300363
FLNS,bg_6,2820608
FLNS,bg_7,3369282
FLNS,bg_8,4146681
FLNS,bg_9,4545847
FLNS,bg_10,4850230
FLNS,bg_11,5247691
FLNS,bg_12,5629307
FLNS,bg_13,5910002
FLNS,bg_14,6312405
FLNS,bg_15,6677210
FLNS,bg_16,7487779
FLNS,bg_17,7812881
FLNS,bg_18,8201959
FLNS,bg_19,8597519
FLNS,bg_20,8933263
FLNT,orig,8615109
FLNT,bg_1,330967
FLNT,bg_2,465744
FLNT,bg_3,642438
FLNT,bg_4,875101
FLNT,bg_5,1167723
FLNT,bg_6,1529963
FLNT,bg_7,1981597
FLNT,bg_8,2760089
FLNT,bg_9,3125008
FLNT,bg_10,3475024
FLNT,bg_11,3865573
FLNT,bg_12,4217230
FLNT,bg_13,4533410
FLNT,bg_14,4946930
FLNT,bg_15,5329733
FLNT,bg_16,6115190
FLNT,bg_17,6506754
FLNT,bg_18,6830981
FLNT,bg_19,7232148
FLNT,bg_20,7590107
FSNS,orig,9305218
FSNS,bg_1,771287
FSNS,bg_2,1043001
FSNS,bg_3,1345033
FSNS,bg_4,1694485
FSNS,bg_5,2108089
FSNS,bg_6,2614736
FSNS,bg_7,3129775
FSNS,bg_8,3902931
FSNS,bg_9,4217819
FSNS,bg_10,4575487
FSNS,bg_11,4936922
FSNS,bg_12,5257063
FSNS,bg_13,5548828
FSNS,bg_14,5859024
FSNS,bg_15,6218540
FSNS,bg_16,6997384
FSNS,bg_17,7314002
FSNS,bg_18,7677909
FSNS,bg_19,8037179
FSNS,bg_20,8355370
FSNT,orig,8880854
FSNT,bg_1,537432
FSNT,bg_2,732654
FSNT,bg_3,980339
FSNT,bg_4,1297511
FSNT,bg_5,1670238
FSNT,bg_6,2143864
FSNT,bg_7,2716308
FSNT,bg_8,3473619
FSNT,bg_9,3781895
FSNT,bg_10,4139381
FSNT,bg_11,4507216
FSNT,bg_12,4845056
FSNT,bg_13,5137909
FSNT,bg_14,5442817
FSNT,bg_15,5795669
FSNT,bg_16,6590985
FSNT,bg_17,6881025
FSNT,bg_18,7266173
FSNT,bg_19,7633416
FSNT,bg_20,7937340
LHFLX,orig,10456229
LHFLX,bg_1,1474021
