set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile,fftmax,fftratio,vfftmax,vfftratio
orig_bc_a1_SRF,0,1.0,8.664323900642918,0.7707094172260052,-2.168404344971009e-18,1.0,0.0,150.55479746780492,0.4116446295008228,126.80087845848915,14.676097825739788,126.80087845848915,14.676097825739788
orig_dst_a1_SRF,0,1.0,0.8583360331729861,0.09844970817620091,-2.6101163411688068e-20,1.0,0.0,36.388371737798046,0.8381570187251415,17.01226514460652,3.0556517214341055,17.01226514460652,3.0556517214341055
orig_dst_a3_SRF,0,1.0000000000000002,0.6131772305049178,0.08247105869536633,-5.240310500346604e-19,1.0,0.0,23.306198433514492,0.8556916279576108,10.255383289353455,2.418581799815033,10.255383289353455,2.418581799815033
orig_FLNS,0,1.0,43.03028521180409,36.53554610169277,4.7182872321128434e-18,1.0,0.0,1396.635698771994,0.4899349370878534,60.57227860112992,7.376443109985684,60.57227860112992,7.376443109985684
orig_FLNSC,0,0.9999999999999999,203.93795300178795,191.54045767892495,1.3548511592467007e-17,1.0,0.0,3244.040946365366,0.3894837900480394,83.94483541469289,7.29700669590818,83.94483541469289,7.29700669590818
orig_FLUT,0,1.0,559.2084874132719,447.33331651531586,1.8270814388181647e-17,1.0,0.0,5459.652266756208,0.2719917757626318,474.95448847262253,27.304051959043022,474.95448847262253,27.304051959043022
orig_FSNS,0,1.0,54.573353204710976,22.687530751396707,-4.690178286900256e-18,1.0,0.0,1379.4572064665601,0.5210223545143648,192.35235481729475,10.432080128720004,192.35235481729475,10.432080128720004
orig_FSNSC,0,1.0,433.1040934460451,162.5100042163529,-1.79415381728342e-17,1.0,0.0,3919.5532341293438,0.3954554534401967,343.22449834721897,14.15022459286122,343.22449834721897,14.15022459286122
orig_FSNTOA,0,1.0,127.23425132477863,53.39102962544923,8.697710761494825e-18,1.0,0.0,2182.6522533769867,0.5009815367055535,187.11087398303633,8.16169596764425,187.11087398303633,8.16169596764425
orig_ICEFRAC,0,1.0,19.713383181746078,1.9921735965623588,1.2829725707745136e-18,1.0,0.0,393.82997147271834,0.37096292931015407,38.20130854371483,5.396696831950841,38.20130854371483,5.396696831950841
orig_LHFLX,0,0.9999999999999999,25.26749834424083,8.945984621577052,2.473587178707669e-18,1.0,0.0,730.9038716371541,0.3317286387282826,404.4659686142495,23.30798135428469,404.4659686142495,23.30798135428469
orig_pom_a1_SRF,0,1.0,10.602746924874989,1.234426129450733,-1.485758532665321e-19,1.0,0.0,160.4533268426068,0.3890987262901645,177.4795537911426,18.785938227741592,177.4795537911426,18.785938227741592
