levels,algs,ratios,variable,time
20,zfp,1.59,bc_a1_SRF,0
22,zfp,1.42,dst_a1_SRF,0
24,zfp,1.28,dst_a3_SRF,0
20,zfp,1.60,FLNS,0
14,zfp,2.94,FLNSC,0
14,zfp,3.00,FLUT,0
16,zfp,2.13,FSNS,0
16,zfp,2.42,FSNSC,0
14,zfp,2.63,FSNTOA,0
100000,zfp,1.00,ICEFRAC,0
22,zfp,1.47,LHFLX,0
20,zfp,1.59,pom_a1_SRF,0
100000,zfp,1.00,PRECL,0
100000,zfp,1.00,PRECSC,0
100000,zfp,1.00,PRECSL,0
100000,zfp,1.00,PRECT,0
100000,zfp,1.00,PRECTMX,0
20,zfp,2.16,PSL,0
16,zfp,2.42,Q200,0
16,zfp,2.33,Q500,0
16,zfp,2.33,Q850,0
16,zfp,2.33,QBOT,0
22,zfp,1.46,SHFLX,0
18,zfp,1.81,so4_a1_SRF,0
18,zfp,1.81,so4_a2_SRF,0
18,zfp,1.82,so4_a3_SRF,0
100000,zfp,1.00,soa_a1_SRF,0
100000,zfp,1.00,soa_a2_SRF,0
20,zfp,2.63,T010,0
18,zfp,2.54,T200,0
18,zfp,2.57,T500,0
18,zfp,2.36,T850,0
22,zfp,1.50,TAUX,0
24,zfp,1.35,TAUY,0
16,zfp,2.43,TMQ,0
18,zfp,2.38,TREFHT,0
18,zfp,2.24,TREFHTMN,0
18,zfp,2.28,TREFHTMX,0
18,zfp,2.40,TS,0
22,zfp,1.73,U010,0
20,zfp,1.88,U200,0
20,zfp,1.81,U500,0
24,zfp,1.37,U850,0
20,zfp,1.72,VBOT,0
16,zfp,2.33,WSPDSRFAV,0
22,zfp,2.08,Z050,0
20,zfp,2.19,Z500,0
