,precision,recall,f1-score,support
14,0.000,0.000,0.000,0.000
16,1.000,0.333,0.500,3.000
18,0.000,0.000,0.000,0.000
20,0.000,0.000,0.000,1.000
22,0.000,0.000,0.000,2.000
accuracy,0.167,0.167,0.167,0.167
macro avg,0.200,0.067,0.100,6.000
weighted avg,0.500,0.167,0.250,6.000
