,precision,recall,f1-score,support
1,0.000,0.000,0.000,3.000
3,0.000,0.000,0.000,1.000
4,0.000,0.000,0.000,2.000
5,0.000,0.000,0.000,0.000
accuracy,0.000,0.000,0.000,0.000
macro avg,0.000,0.000,0.000,6.000
weighted avg,0.000,0.000,0.000,6.000
