,precision,recall,f1-score,support
0,0.000,0.000,0.000,4.000
1,0.000,0.000,0.000,419.000
2,0.320,0.995,0.484,1865.000
3,0.750,0.018,0.034,1700.000
4,0.000,0.000,0.000,375.000
5,0.000,0.000,0.000,17.000
6,0.000,0.000,0.000,720.000
7,0.000,0.000,0.000,30.000
8,0.000,0.000,0.000,710.000
accuracy,0.323,0.323,0.323,0.323
macro avg,0.119,0.112,0.058,5840.000
weighted avg,0.320,0.323,0.165,5840.000
