,precision,recall,f1-score,support
0,0.000,0.000,0.000,4.000
1,0.183,0.382,0.247,419.000
2,0.197,0.370,0.257,1865.000
3,0.400,0.002,0.005,1700.000
4,0.000,0.000,0.000,375.000
5,0.000,0.000,0.000,17.000
6,0.000,0.000,0.000,720.000
7,0.000,0.000,0.000,30.000
8,0.000,0.000,0.000,710.000
accuracy,0.146,0.146,0.146,0.146
macro avg,0.087,0.084,0.057,5840.000
weighted avg,0.192,0.146,0.101,5840.000
