,precision,recall,f1-score,support
0,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,60.000
3,0.000,0.000,0.000,136.000
4,0.000,0.000,0.000,216.000
5,0.000,0.000,0.000,198.000
6,0.000,0.000,0.000,60.000
7,0.443,0.568,0.498,838.000
accuracy,0.316,0.316,0.316,0.316
macro avg,0.063,0.081,0.071,1508.000
weighted avg,0.246,0.316,0.277,1508.000
