,precision,recall,f1-score,support
0,0.418,0.410,0.414,1159.000
1,0.000,0.000,0.000,1221.000
2,0.000,0.000,0.000,296.000
3,0.068,0.044,0.053,436.000
4,0.064,0.316,0.106,152.000
5,0.010,0.458,0.019,24.000
6,0.000,0.000,0.000,64.000
7,0.000,0.000,0.000,248.000
accuracy,0.154,0.154,0.154,0.154
macro avg,0.070,0.153,0.074,3600.000
weighted avg,0.146,0.154,0.144,3600.000
