,precision,recall,f1-score,support
1,0.000,0.000,0.000,60.000
3,0.000,0.000,0.000,136.000
4,0.000,0.000,0.000,216.000
5,0.000,0.000,0.000,198.000
6,0.000,0.000,0.000,60.000
7,0.416,0.570,0.481,838.000
accuracy,0.317,0.317,0.317,0.317
macro avg,0.069,0.095,0.080,1508.000
weighted avg,0.231,0.317,0.267,1508.000
