class,precision,recall,f1-score,support
zfp_p_14,0.000,0.000,0.000,0.000
zfp_p_16,0.037,0.317,0.066,60.000
zfp_p_18,0.000,0.000,0.000,0.000
zfp_p_20,0.000,0.000,0.000,136.000
zfp_p_22,0.000,0.000,0.000,216.000
zfp_p_24,0.000,0.000,0.000,198.000
zfp_p_26,0.600,0.050,0.092,60.000
accuracy,0.033,0.033,0.033,0.033
macro avg,0.091,0.052,0.023,670.000
weighted avg,0.057,0.033,0.014,670.000
