variable,frequency,timestep,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio,sz_level,sz_size,sz_ratio,sz1413_level,sz1413_size,sz1413_ratio
FLNS,monthly,0,4,5798915.0,1.7133415475136298,16,6563960.0,1.5136475542203183,0001,9919720.0,1.0015929885117725,0.0001,9918996.0,1.001666096044398
FLNS,monthly,1,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,0001,9919720.0,1.0015929885117725,0.0001,9918996.0,1.001666096044398
FLNS,monthly,2,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,00005,9925817.0,1.000977753267061,-1,9935522.0,1.0
FLNS,monthly,3,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,00005,9925817.0,1.000977753267061,0.0001,9918996.0,1.001666096044398
FLNS,monthly,4,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,0001,9919720.0,1.0015929885117725,0.0001,9918996.0,1.001666096044398
FLNS,monthly,5,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,0001,9919720.0,1.0015929885117725,0.0001,9918996.0,1.001666096044398
FLNS,monthly,6,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,0001,9919720.0,1.0015929885117725,0.0001,9918996.0,1.001666096044398
FLNS,monthly,7,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,000005,9929224.0,1.0006342892455644,0.0001,9918996.0,1.001666096044398
FLNS,monthly,8,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,0001,9919720.0,1.0015929885117725,0.0001,9918996.0,1.001666096044398
FLNS,monthly,9,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,0001,9919720.0,1.0015929885117725,0.0001,9918996.0,1.001666096044398
FLNS,monthly,10,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,0001,9919720.0,1.0015929885117725,0.0001,9918996.0,1.001666096044398
FLNS,monthly,11,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,0001,9919720.0,1.0015929885117725,0.0001,9918996.0,1.001666096044398
FLNS,monthly,12,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,0001,9919720.0,1.0015929885117725,0.0001,9918996.0,1.001666096044398
FLNS,monthly,13,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,0001,9919720.0,1.0015929885117725,0.0001,9918996.0,1.001666096044398
FLNS,monthly,14,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,0001,9919720.0,1.0015929885117725,0.0001,9918996.0,1.001666096044398
FLNS,monthly,15,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,00005,9925817.0,1.000977753267061,-1,9935522.0,1.0
FLNS,monthly,16,4,5798915.0,1.7133415475136298,14,5288668.0,1.8786435450287293,0001,9919720.0,1.0015929885117725,0.0001,9918996.0,1.001666096044398
