variable,best_alg,best_ratio,best_size,best_level
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,zfp,1.6191396537875011,109633501.0,16
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109633501.0,4
FLUT,zfp,1.6191396537875011,109712970.0,16
FLUT,zfp,1.6191396537875011,109553988.0,16
FLUT,zfp,1.6191396537875011,109553988.0,16
FLUT,bg,2.006759035114317,109633501.0,4
FLUT,bg,2.006759035114317,109633501.0,4
FLUT,bg,2.006759035114317,109634768.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109634768.0,4
FLUT,zfp,1.6191396537875011,109712970.0,16
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109633501.0,4
FLUT,bg,2.006759035114317,109712970.0,4
FLUT,bg,2.006759035114317,109633501.0,4
FLUT,bg,2.006759035114317,109634768.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,zfp,1.6191396537875011,109553988.0,16
FLUT,zfp,1.6191396537875011,109712970.0,16
FLUT,zfp,1.6191396537875011,109634768.0,16
FLUT,zfp,1.6191396537875011,109634768.0,16
FLUT,zfp,1.6191396537875011,109712970.0,16
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,zfp,1.6191396537875011,109553988.0,16
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109633501.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,zfp,1.6191396537875011,109633501.0,16
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,zfp,1.6191396537875011,109634768.0,16
FLUT,zfp,1.6191396537875011,109553988.0,16
FLUT,zfp,1.6191396537875011,109633501.0,16
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109712970.0,4
FLUT,bg,2.006759035114317,109634768.0,4
FLUT,bg,2.006759035114317,109633501.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109633501.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109633501.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109633501.0,4
FLUT,bg,2.006759035114317,109633501.0,4
FLUT,bg,2.006759035114317,109712970.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,bg,2.006759035114317,109633501.0,4
FLUT,bg,2.006759035114317,109553988.0,4
FLUT,zfp,1.6191396537875011,109553988.0,16
FLUT,zfp,1.6191396537875011,109633501.0,16
FLUT,zfp,1.6191396537875011,109553988.0,16
FLUT,bg,2.006759035114317,109553988.0,4
LHFLX,zfp,1.7436870954465522,130489870.0,14
LHFLX,zfp,1.7436870954465522,130489870.0,14
LHFLX,zfp,1.7436870954465522,130489870.0,14
LHFLX,zfp,1.7436870954465522,130489870.0,14
LHFLX,zfp,2.0226781994212026,130489870.0,12
LHFLX,zfp,1.7436870954465522,130489870.0,14
LHFLX,zfp,2.0226781994212026,130489870.0,12
LHFLX,zfp,2.0226781994212026,130489870.0,12
LHFLX,zfp,1.7436870954465522,130489870.0,14
LHFLX,zfp,2.0226781994212026,130489870.0,12
LHFLX,zfp,2.0226781994212026,130489870.0,12
LHFLX,zfp,1.7436870954465522,130489870.0,14
